chrom	start	end	acc	score	strand	FC	feat_chrom	feat_start	feat_end	feat_acc	feat_score	feat_strand	feat_FC	distance
1	202335	202337	pCAMTA2-22C-mock_S1_peak_195	49.0	.	202336	1	201344	202845	AT1G01560	.	+	CDS	0
1	229621	229623	pCAMTA3-22C-cycloheximide_S6_peak_161	29.0	.	229622	1	228205	229706	AT1G01630	.	+	CDS	0
1	232323	232325	pCAMTA3-22C-cycloheximide_S6_peak_163	27.0	.	232324	1	231415	232916	AT1G01640	.	-	CDS	0
1	242118	242120	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_145	26.0	.	242119	1	242108	243609	AT1G01660	.	-	CDS	0
1	245013	245015	pCAMTA2-22C-mock_S1_peak_238	35.0	.	245014	1	244663	246164	AT1G01670	.	-	CDS	0
1	248380	248382	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_150	38.0	.	248381	1	247829	249330	AT1G01680	.	-	CDS	0
1	248380	248382	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_150	38.0	.	248381	1	248241	249742	AT1G01690	.	+	CDS	0
1	248651	248653	pCAMTA2-22C-mock_S1_peak_241	26.0	.	248652	1	247829	249330	AT1G01680	.	-	CDS	0
1	248651	248653	pCAMTA2-22C-mock_S1_peak_241	26.0	.	248652	1	248241	249742	AT1G01690	.	+	CDS	0
1	261017	261019	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_196	26.0	.	261018	1	260974	262475	AT1G01700	.	-	CDS	0
1	261238	261240	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_197	35.0	.	261239	1	260974	262475	AT1G01700	.	-	CDS	0
1	262975	262977	pCAMTA2-22C-mock_S1_peak_247	34.0	.	262976	1	261949	263450	AT1G01710	.	+	CDS	0
1	279355	279357	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_214	26.0	.	279356	1	277948	279449	AT1G01760	.	-	CDS	0
1	295108	295110	pCAMTA2-22C-mock_S1_peak_279	31.0	.	295109	1	294241	295742	AT1G01810	.	+	CDS	0
1	300190	300192	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_233	26.0	.	300191	1	299941	301442	AT1G01830	.	-	CDS	0
1	304016	304018	pCAMTA2-22C-mock_S1_peak_290	34.0	.	304017	1	302649	304150	AT1G01840	.	+	CDS	0
1	345164	345166	pCAMTA2-22C-mock_S1_peak_332	29.0	.	345165	1	343699	345200	AT1G01990	.	-	CDS	0
1	345164	345166	pCAMTA2-22C-mock_S1_peak_332	29.0	.	345165	1	345051	346552	AT1G02000	.	+	CDS	0
1	348304	348306	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_231	26.0	.	348305	1	347045	348546	AT1G02010	.	+	CDS	0
1	354890	354892	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_235	26.0	.	354891	1	354345	355846	AT1G02020	.	-	CDS	0
1	355724	355726	pCAMTA3-22C-cycloheximide_S6_peak_258	27.0	.	355725	1	354345	355846	AT1G02020	.	-	CDS	0
1	355724	355726	pCAMTA3-22C-cycloheximide_S6_peak_258	27.0	.	355725	1	355688	357189	AT1G02030	.	-	CDS	0
1	356810	356812	pCAMTA3-22C-mock_S4_peak_389	26.5	.	356811	1	355688	357189	AT1G02030	.	-	CDS	0
1	358910	358912	pCAMTA2-22C-mock_S1_peak_344	38.0	.	358911	1	358578	360079	AT1G02040	.	-	CDS	0
1	361120	361122	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_295	29.5	.	361121	1	359941	361442	AT1G02050	.	-	CDS	0
1	362854	362856	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_245	25.5	.	362855	1	362550	364051	AT1G02060	.	-	CDS	0
1	365657	365659	pCAMTA3-22C-cycloheximide_S6_peak_270	25.5	.	365658	1	364624	366125	AT1G02065	.	+	CDS	0
1	389526	389528	pCAMTA2-22C-mock_S1_peak_365	28.0	.	389527	1	388875	390376	AT1G02100	.	+	CDS	0
1	389526	389528	pCAMTA2-22C-mock_S1_peak_365	28.0	.	389527	1	389068	390569	AT1G02090	.	-	CDS	0
1	393208	393210	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_323	32.0	.	393209	1	391938	393439	AT1G02110	.	+	CDS	0
1	395215	395217	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_269	35.5	.	395216	1	394760	396261	AT1G02120	.	+	CDS	0
1	402267	402269	pCAMTA3-22C-cycloheximide_S6_peak_294	30.5	.	402268	1	401288	402789	AT1G02130	.	-	CDS	0
1	415388	415390	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_290	32.0	.	415389	1	414005	415506	AT1G02180	.	-	CDS	0
1	415388	415390	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_290	32.0	.	415389	1	414153	415654	AT1G02190	.	+	CDS	0
1	428628	428630	pCAMTA2-22C-mock_S1_peak_407	30.0	.	428629	1	427311	428812	AT1G02210	.	-	CDS	0
1	442369	442371	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_302	26.5	.	442370	1	441959	443460	AT1G02260	.	-	CDS	0
1	445829	445831	pCAMTA2-22C-mock_S1_peak_417	26.0	.	445830	1	445697	447198	AT1G02270	.	-	CDS	0
1	449984	449986	pCAMTA2-22C-mock_S1_peak_420	26.5	.	449985	1	449746	451247	AT1G02280	.	-	CDS	0
1	451495	451497	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_309	26.0	.	451496	1	451477	452978	AT1G02290	.	-	CDS	0
1	472759	472761	pCAMTA2-22C-mock_S1_peak_438	31.0	.	472760	1	472616	474117	AT1G02360	.	-	CDS	0
1	473083	473085	pCAMTA3-22C-cycloheximide_S6_peak_344	40.0	.	473084	1	472616	474117	AT1G02360	.	-	CDS	0
1	480690	480692	pCAMTA2-22C-mock_S1_peak_445	30.0	.	480691	1	479920	481421	AT1G02390	.	+	CDS	0
1	491372	491374	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_413	26.0	.	491373	1	489997	491498	AT1G02405	.	-	CDS	0
1	491372	491374	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_413	26.0	.	491373	1	490299	491800	AT1G02410	.	+	CDS	0
1	521885	521887	pCAMTA3-22C-mock_S4_peak_541	29.0	.	521886	1	521126	522627	AT1G02510	.	-	CDS	0
1	535313	535315	pCAMTA3-22C-cycloheximide_S6_peak_379	32.0	.	535314	1	535199	536700	AT1G02540	.	-	CDS	0
1	536859	536861	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_436	38.0	.	536860	1	535482	536983	AT1G02550	.	+	CDS	0
1	538109	538111	pCAMTA3-22C-cycloheximide_S6_peak_381	28.0	.	538110	1	536999	538500	AT1G02560	.	+	CDS	0
1	541763	541765	pCAMTA2-22C-mock_S1_peak_480	39.0	.	541764	1	540379	541880	AT1G02570	.	+	CDS	0
1	543493	543495	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_442	32.0	.	543494	1	542152	543653	AT1G02575	.	+	CDS	0
1	552809	552811	pCAMTA2-22C-mock_S1_peak_484	30.0	.	552810	1	552261	553762	AT1G02590	.	-	CDS	0
1	557234	557236	pCAMTA2-22C-mock_S1_peak_487	28.0	.	557235	1	556091	557592	AT1G02620	.	+	CDS	0
1	562262	562264	pCAMTA3-22C-cycloheximide_S6_peak_389	30.0	.	562263	1	561882	563383	AT1G02630	.	-	CDS	0
1	568864	568866	pCAMTA3-22C-cycloheximide_S6_peak_393	26.0	.	568865	1	567703	569204	AT1G02650	.	+	CDS	0
1	575223	575225	pCAMTA2-22C-mock_S1_peak_513	36.0	.	575224	1	574246	575747	AT1G02660	.	-	CDS	0
1	575223	575225	pCAMTA2-22C-mock_S1_peak_513	36.0	.	575224	1	575045	576546	AT1G02670	.	+	CDS	0
1	575605	575607	pCAMTA2-22C-mock_S1_peak_514	26.5	.	575606	1	574246	575747	AT1G02660	.	-	CDS	0
1	575605	575607	pCAMTA2-22C-mock_S1_peak_514	26.5	.	575606	1	575045	576546	AT1G02670	.	+	CDS	0
1	580748	580750	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_466	30.0	.	580749	1	580083	581584	AT1G02680	.	+	CDS	0
1	583733	583735	pCAMTA2-22C-mock_S1_peak_519	56.0	.	583734	1	583396	584897	AT1G02690	.	+	CDS	0
1	592346	592348	pCAMTA2-22C-mock_S1_peak_526	31.0	.	592347	1	591114	592615	AT1G02720	.	+	CDS	0
1	607529	607531	pCAMTA2-22C-mock_S1_peak_542	33.0	.	607530	1	606124	607625	AT1G02770	.	-	CDS	0
1	609191	609193	pCAMTA2-22C-mock_S1_peak_545	26.0	.	609192	1	608891	610392	AT1G02780	.	-	CDS	0
1	615912	615914	pCAMTA3-22C-cycloheximide_S6_peak_423	31.0	.	615913	1	615603	617104	AT1G02800	.	-	CDS	0
1	638281	638283	pCAMTA2-22C-mock_S1_peak_566	37.0	.	638282	1	638103	639604	AT1G02870	.	-	CDS	0
1	644707	644709	pCAMTA2-22C-mock_S1_peak_567	31.0	.	644708	1	643985	645486	AT1G02880	.	-	CDS	0
1	672827	672829	pCAMTA2-22C-mock_S1_peak_588	40.0	.	672828	1	672314	673815	AT1G02965	.	-	CDS	0
1	672827	672829	pCAMTA2-22C-mock_S1_peak_588	40.0	.	672828	1	672407	673908	AT1G02970	.	+	CDS	0
1	673232	673234	pCAMTA2-22C-mock_S1_peak_589	46.0	.	673233	1	672314	673815	AT1G02965	.	-	CDS	0
1	673232	673234	pCAMTA2-22C-mock_S1_peak_589	46.0	.	673233	1	672407	673908	AT1G02970	.	+	CDS	0
1	673820	673822	pCAMTA3-22C-mock_S4_peak_666	30.0	.	673821	1	672407	673908	AT1G02970	.	+	CDS	0
1	701392	701394	pCAMTA2-22C-mock_S1_peak_600	26.0	.	701393	1	700620	702121	AT1G03030	.	+	CDS	0
1	706458	706460	pCAMTA2-22C-mock_S1_peak_604	30.0	.	706459	1	705957	707458	AT1G03040	.	-	CDS	0
1	727527	727529	pCAMTA3-22C-mock_S4_peak_708	37.0	.	727528	1	726391	727892	AT1G03060	.	-	CDS	0
1	737437	737439	pCAMTA3-22C-cycloheximide_S6_peak_492	26.0	.	737438	1	736832	738333	AT1G03080	.	-	CDS	0
1	738047	738049	pCAMTA3-22C-cycloheximide_S6_peak_493	27.0	.	738048	1	736832	738333	AT1G03080	.	-	CDS	0
1	749182	749184	pCAMTA2-22C-mock_S1_peak_639	26.0	.	749183	1	748139	749640	AT1G03106	.	-	CDS	0
1	749182	749184	pCAMTA2-22C-mock_S1_peak_639	26.0	.	749183	1	748358	749859	AT1G03110	.	+	CDS	0
1	753788	753790	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_597	27.0	.	753789	1	753642	755143	AT1G03130	.	-	CDS	0
1	754297	754299	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_598	29.0	.	754298	1	753642	755143	AT1G03130	.	-	CDS	0
1	755652	755654	pCAMTA3-22C-cycloheximide_S6_peak_503	32.0	.	755653	1	755460	756961	AT1G03150	.	+	CDS	0
1	786690	786692	pCAMTA3-22C-mock_S4_peak_757	27.0	.	786691	1	786142	787643	AT1G03220	.	+	CDS	0
1	787004	787006	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_621	32.0	.	787005	1	786142	787643	AT1G03220	.	+	CDS	0
1	787402	787404	pCAMTA2-22C-mock_S1_peak_663	29.0	.	787403	1	786142	787643	AT1G03220	.	+	CDS	0
1	790049	790051	pCAMTA2-22C-mock_S1_peak_664	27.5	.	790050	1	789109	790610	AT1G03230	.	+	CDS	0
1	793197	793199	pCAMTA2-22C-mock_S1_peak_666	43.0	.	793198	1	792338	793839	AT1G03240	.	-	CDS	0
1	795983	795985	pCAMTA3-22C-mock_S4_peak_761	30.5	.	795984	1	794659	796160	AT1G03250	.	-	CDS	0
1	799062	799064	pCAMTA2-22C-mock_S1_peak_670	51.0	.	799063	1	797602	799103	AT1G03260	.	-	CDS	0
1	799062	799064	pCAMTA2-22C-mock_S1_peak_670	51.0	.	799063	1	798190	799691	AT1G03270	.	+	CDS	0
1	802705	802707	pCAMTA2-22C-mock_S1_peak_673	27.5	.	802706	1	802634	804135	AT1G03280	.	+	CDS	0
1	819218	819220	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_640	27.0	.	819219	1	818711	820212	AT1G03340	.	+	CDS	0
1	819218	819220	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_640	27.0	.	819219	1	818797	820298	AT1G03330	.	-	CDS	0
1	823753	823755	pCAMTA2-22C-mock_S1_peak_696	31.0	.	823754	1	823652	825153	AT1G03360	.	+	CDS	0
1	823753	823755	pCAMTA2-22C-mock_S1_peak_696	31.0	.	823754	1	823746	825247	AT1G03350	.	-	CDS	0
1	827073	827075	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_649	26.0	.	827074	1	826181	827682	AT1G03365	.	+	CDS	0
1	830635	830637	pCAMTA2-22C-mock_S1_peak_707	30.0	.	830636	1	829967	831468	AT1G03370	.	+	CDS	0
1	836533	836535	pCAMTA2-22C-mock_S1_peak_714	27.5	.	836534	1	835154	836655	AT1G03380	.	+	CDS	0
1	841964	841966	pCAMTA3-22C-cycloheximide_S6_peak_569	27.0	.	841965	1	841918	843419	AT1G03390	.	-	CDS	0
1	846241	846243	pCAMTA2-22C-mock_S1_peak_726	40.0	.	846242	1	846074	847575	AT1G03410	.	-	CDS	0
1	863941	863943	pCAMTA2-22C-mock_S1_peak_743	46.0	.	863942	1	863519	865020	AT1G03457	.	-	CDS	0
1	864371	864373	pCAMTA2-22C-mock_S1_peak_744	27.5	.	864372	1	863519	865020	AT1G03457	.	-	CDS	0
1	868174	868176	pCAMTA3-22C-mock_S4_peak_844	31.0	.	868175	1	866993	868494	AT1G03470	.	-	CDS	0
1	871173	871175	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_699	35.0	.	871174	1	870675	872176	AT1G03475	.	-	CDS	0
1	871173	871175	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_699	35.0	.	871174	1	870873	872374	AT1G03490	.	+	CDS	0
1	877381	877383	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_703	49.0	.	877382	1	877047	878548	AT1G03510	.	-	CDS	0
1	878102	878104	pCAMTA2-22C-mock_S1_peak_760	30.5	.	878103	1	877047	878548	AT1G03510	.	-	CDS	0
1	882812	882814	pCAMTA2-22C-mock_S1_peak_766	27.5	.	882813	1	882781	884282	AT1G03540	.	+	CDS	0
1	898930	898932	pCAMTA2-22C-mock_S1_peak_781	29.0	.	898931	1	897915	899416	AT1G03600	.	+	CDS	0
1	916646	916648	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_594	31.0	.	916647	1	915722	917223	AT1G03670	.	-	CDS	0
1	920451	920453	pCAMTA2-22C-mock_S1_peak_806	27.0	.	920452	1	920037	921538	AT1G03700	.	+	CDS	0
1	954605	954607	pCAMTA3-22C-mock_S4_peak_936	26.0	.	954606	1	953588	955089	AT1G03790	.	+	CDS	0
1	957807	957809	pCAMTA3-22C-cycloheximide_S6_peak_660	29.0	.	957808	1	957498	958999	AT1G03800	.	-	CDS	0
1	957807	957809	pCAMTA3-22C-cycloheximide_S6_peak_660	29.0	.	957808	1	957758	959259	AT1G03810	.	+	CDS	0
1	960674	960676	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_619	26.0	.	960675	1	960176	961677	AT1G03820	.	-	CDS	0
1	983160	983162	pCAMTA3-22C-mock_S4_peak_961	34.0	.	983161	1	982868	984369	AT1G03870	.	-	CDS	0
1	996254	996256	pCAMTA2-22C-mock_S1_peak_874	43.5	.	996255	1	995431	996932	AT1G03910	.	+	CDS	0
1	1000529	1000531	pCAMTA3-22C-mock_S4_peak_982	42.0	.	1000530	1	1000472	1001973	AT1G03920	.	+	CDS	0
1	1014275	1014277	pCAMTA2-22C-mock_S1_peak_886	31.0	.	1014276	1	1013084	1014585	AT1G03960	.	+	CDS	0
1	1024766	1024768	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_665	36.0	.	1024767	1	1023846	1025347	AT1G03990	.	+	CDS	0
1	1028654	1028656	pCAMTA2-22C-mock_S1_peak_899	28.0	.	1028655	1	1028373	1029874	AT1G04000	.	-	CDS	0
1	1044669	1044671	pCAMTA2-22C-mock_S1_peak_911	27.5	.	1044670	1	1043319	1044820	AT1G04040	.	-	CDS	0
1	1049580	1049582	pCAMTA2-22C-mock_S1_peak_915	37.5	.	1049581	1	1048696	1050197	AT1G04050	.	-	CDS	0
1	1051423	1051425	pCAMTA2-22C-mock_S1_peak_919	28.5	.	1051424	1	1050616	1052117	AT1G04070	.	-	CDS	0
1	1051423	1051425	pCAMTA2-22C-mock_S1_peak_919	28.5	.	1051424	1	1050802	1052303	AT1G04080	.	+	CDS	0
1	1063847	1063849	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_701	32.0	.	1063848	1	1063284	1064785	AT1G04110	.	-	CDS	0
1	1064440	1064442	pCAMTA2-22C-mock_S1_peak_937	34.0	.	1064441	1	1063284	1064785	AT1G04110	.	-	CDS	0
1	1072825	1072827	pCAMTA2-22C-mock_S1_peak_946	30.0	.	1072826	1	1072464	1073965	AT1G04130	.	+	CDS	0
1	1084655	1084657	pCAMTA2-22C-mock_S1_peak_960	37.0	.	1084656	1	1083746	1085247	AT1G04150	.	-	CDS	0
1	1114078	1114080	pCAMTA3-22C-cycloheximide_S6_peak_767	31.0	.	1114079	1	1113695	1115196	AT1G04210	.	+	CDS	0
1	1114469	1114471	pCAMTA3-22C-mock_S4_peak_1085	27.5	.	1114470	1	1113695	1115196	AT1G04210	.	+	CDS	0
1	1135513	1135515	pCAMTA2-22C-mock_S1_peak_997	27.0	.	1135514	1	1135381	1136882	AT1G04250	.	+	CDS	0
1	1136249	1136251	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_750	31.0	.	1136250	1	1135381	1136882	AT1G04250	.	+	CDS	0
1	1140921	1140923	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_751	27.0	.	1140922	1	1140797	1142298	AT1G04260	.	-	CDS	0
1	1148979	1148981	pCAMTA2-22C-mock_S1_peak_1010	28.5	.	1148980	1	1147852	1149353	AT1G04290	.	-	CDS	0
1	1153838	1153840	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_952	43.0	.	1153839	1	1153395	1154896	AT1G04300	.	-	CDS	0
1	1154484	1154486	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_953	28.5	.	1154485	1	1153395	1154896	AT1G04300	.	-	CDS	0
1	1157581	1157583	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_957	40.0	.	1157582	1	1156625	1158126	AT1G04310	.	-	CDS	0
1	1157917	1157919	pCAMTA2-22C-mock_S1_peak_1022	26.0	.	1157918	1	1156625	1158126	AT1G04310	.	-	CDS	0
1	1164540	1164542	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_960	29.0	.	1164541	1	1164237	1165738	AT1G04340	.	-	CDS	0
1	1164540	1164542	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_960	29.0	.	1164541	1	1164295	1165796	AT1G04350	.	+	CDS	0
1	1168792	1168794	pCAMTA3-22C-mock_S4_peak_1130	30.0	.	1168793	1	1168152	1169653	AT1G04360	.	-	CDS	0
1	1183556	1183558	pCAMTA2-22C-mock_S1_peak_1035	30.0	.	1183557	1	1183115	1184616	AT1G04390	.	-	CDS	0
1	1188156	1188158	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_973	43.5	.	1188157	1	1187401	1188902	AT1G04400	.	-	CDS	0
1	1191515	1191517	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_978	28.0	.	1191516	1	1190633	1192134	AT1G04420	.	+	CDS	0
1	1191515	1191517	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_978	28.0	.	1191516	1	1190767	1192268	AT1G04410	.	-	CDS	0
1	1198548	1198550	pCAMTA2-22C-mock_S1_peak_1045	27.0	.	1198549	1	1197859	1199360	AT1G04430	.	+	CDS	0
1	1202971	1202973	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_987	33.0	.	1202972	1	1201814	1203315	AT1G04440	.	+	CDS	0
1	1215597	1215599	pCAMTA2-22C-mock_S1_peak_1061	34.0	.	1215598	1	1215109	1216610	AT1G04480	.	+	CDS	0
1	1216436	1216438	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_798	36.0	.	1216437	1	1215109	1216610	AT1G04480	.	+	CDS	0
1	1248720	1248722	pCAMTA2-22C-mock_S1_peak_1092	31.0	.	1248721	1	1248100	1249601	AT1G04570	.	-	CDS	0
1	1258505	1258507	pCAMTA3-22C-cycloheximide_S6_peak_851	28.0	.	1258506	1	1257010	1258511	AT1G04580	.	-	CDS	0
1	1292839	1292841	pCAMTA3-22C-mock_S4_peak_1239	34.0	.	1292840	1	1291540	1293041	AT1G04640	.	+	CDS	0
1	1313681	1313683	pCAMTA3-22C-cycloheximide_S6_peak_884	29.0	.	1313682	1	1312661	1314162	AT1G04690	.	+	CDS	0
1	1333650	1333652	pCAMTA2-22C-mock_S1_peak_1153	33.0	.	1333651	1	1332926	1334427	AT1G04750	.	-	CDS	0
1	1359007	1359009	pICE1-ICE1-LD-22C-ZT0--22C-cycloheximide_S9_peak_888	27.5	.	1359008	1	1357766	1359267	AT1G04820	.	-	CDS	0
1	1362460	1362462	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_1118	26.5	.	1362461	1	1361344	1362845	AT1G04830	.	-	CDS	0
1	1365421	1365423	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_1122	25.5	.	1365422	1	1364462	1365963	AT1G04840	.	-	CDS	0
1	1371946	1371948	pCAMTA2-22C-mock_S1_peak_1187	31.0	.	1371947	1	1371790	1373291	AT1G04860	.	-	CDS	0
1	1390856	1390858	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_1144	26.0	.	1390857	1	1390574	1392075	AT1G04910	.	-	CDS	0
1	1395893	1395895	pCAMTA3-22C-mock_S4_peak_1337	30.5	.	1395894	1	1395256	1396757	AT1G04920	.	-	CDS	0
1	1399274	1399276	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_1152	33.0	.	1399275	1	1398488	1399989	AT1G04930	.	-	CDS	0
1	1399274	1399276	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_1152	33.0	.	1399275	1	1398587	1400088	AT1G04940	.	+	CDS	0
1	1399274	1399276	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_1152	33.0	.	1399275	1	1398587	1400088	AT1G04945	.	+	CDS	0
1	1406893	1406895	pICE1--ICE1-LD-22C-ZT0--22C-mock_S7_peak_1159	26.0	.	1406894	1	1406684	1408185	AT1G04950	.	-	CDS	0
1	1418622	1418624	pCAMTA2-22C-mock_S1_peak_1225	30.0	.	1418623	1	1417791	1419292	AT1G04985	.	-	CDS	0
